"Essential";"GTP/GDP-exchange factors (GEFs)";"Translation complexes";"Cell morphology and organelle mutants";"PS00824";1;"G234064";"cytoplasm"
"Non-Essential";"ATPases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";1;"G234065";"cytoplasm"
"Non-Essential";"ATPases";"Cytoskeleton";"Mating and sporulation defects";"PS00017";1;"G234070";"cytoskeleton"
"Non-Essential";"Cyclins";"Cyclin-CDK (Cyclin-dependent kinases) complexes";"Cell cycle defects";"PS00013";1;"G234073";"cytoplasm"
"Essential";"GTP/GDP-exchange factors (GEFs)";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00741";1;"G234074";"cytoplasm"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Carbohydrate and lipid biosynthesis defects";"PS00463";1;"G234076";"nucleus"
"Non-Essential";"Protein Kinases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00107";2;"G234084";"cytoplasm"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00685";2;"G234085";"nucleus"
"Non-Essential";"Major facilitator superfamily proteins (MFS)";"Transcription complexes/Transcriptosome";"Nucleic acid metabolism defects";"PS00017";2;"G234089";"plasma membrane"
"Non-Essential";"Motorproteins";"Cytoskeleton";"Cell morphology and organelle mutants";"PS00017";2;"G234093";"nucleus"
"Non-Essential";"Molecular chaperones";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00297";2;"G234096";"cytoplasm"
"Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Stress response defects";"PS00017";2;"G234100";"nucleus"
"Non-Essential";"ATPases";"Respiration chain complexes";"Auxotrophies, carbon and";"PS00017";2;"G234101";"mitochondria"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00038";2;"G234102";"nucleus"
"Essential";"Protein Kinases";"Transcription complexes/Transcriptosome";"Cell cycle defects";"PS00107";2;"G234103";"cytoplasm"
"Non-Essential";"Histones";"Nucleosomal protein complex";"Auxotrophies, carbon and";"PS00017";2;"G234106";"nucleus"
"Non-Essential";"Histones";"Nucleosomal protein complex";"Auxotrophies, carbon and";"PS00322";2;"G234107";"nucleus"
"Non-Essential";"Other kinases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00627";2;"G234108";"cytoplasm"
"Non-Essential";"Major facilitator superfamily proteins (MFS)";"Transcription complexes/Transcriptosome";"Nucleic acid metabolism defects";"PS00017";2;"G234109";"plasma membrane"
"Essential";"ATPases";"Intracellular transport complexes";"Cell morphology and organelle mutants";"PS00017";2;"G234122";"cytoplasm"
"Non-Essential";"Ubiquitin-system proteins";"Transcription complexes/Transcriptosome";"Conditional phenotypes";"PS00017";2;"G234123";"cytoplasm"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00554";2;"G234124";"nucleus"
"Non-Essential";"GTP-binding proteins";"Translation complexes";"Cell morphology and organelle mutants";"PS00017";2;"G234126";"cytoplasm"
"Non-Essential";"ATPases";"H+-transporting ATPase, vacuolar";"Auxotrophies, carbon and";"PS00152";2;"G234128";"vacuole"
"Non-Essential";"GTPase activating proteins (GAPs)";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00509";2;"G234131";"plasma membrane"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00350";2;"G234139";"nucleus"
"Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";2;"G234141";"nucleus"
"Non-Essential";"GTP-binding proteins";"Cytoskeleton";"Cell morphology and organelle mutants";"PS00017";3;"G234167";"cytoskeleton"
"Non-Essential";"ATPases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00013";3;"G234169";"plasma membrane"
"Non-Essential";"Transcription factors";"RNA processing complexes";"Cell morphology and organelle mutants";"PS00017";3;"G234170";"nucleus"
"Non-Essential";"GTP/GDP-exchange factors (GEFs)";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00720";3;"G234177";"plasma membrane"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";3;"G234178";"nucleus"
"Non-Essential";"Polymerases";"Cyclin-CDK (Cyclin-dependent kinases) complexes";"Sensitivity to aminoacid analogs and other drugs";"PS00017";3;"G234185";"nucleus"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Auxotrophies, carbon and";"PS00017";4;"G234191";"nucleus"
"Essential";"Protein Kinases";"Replication complexes";"Cell cycle defects";"PS00108";4;"G234194";"nucleus"
"Essential";"Actin related proteins";"Cytoskeleton";"Cell morphology and organelle mutants";"PS01132";4;"G234197";"cytoskeleton"
"Essential";"ATPases";"Proteasome";"Cell morphology and organelle mutants";"PS00017";4;"G234201";"nucleus"
"Non-Essential";"Protein Kinases";"Transcription complexes/Transcriptosome";"Nucleic acid metabolism defects";"PS00017";4;"G234202";"nucleus"
"Non-Essential";"Transcription factors";"Transcription complexes/Transcriptosome";"Mating and sporulation defects";"PS00027";4;"G234205";"nucleus"
"Essential";"Protein Kinases";"Cyclin-CDK (Cyclin-dependent kinases) complexes";"Conditional phenotypes";"PS00107";4;"G234206";"nucleus"
"Non-Essential";"GTP/GDP dissociation inhibitors (GDIs)";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";4;"G234212";"cytoplasm"
"Essential";"Polymerases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00115";4;"G234214";"nucleus"
"Essential";"Polymerases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";4;"G234217";"nucleus"
"Non-Essential";"ATPases";"H+-transporting ATPase, vacuolar";"Cell morphology and organelle mutants";"PS00017";4;"G234222";"vacuole"
"Non-Essential";"Major facilitator superfamily proteins (MFS)";"Transcription complexes/Transcriptosome";"Auxotrophies, carbon and";"PS00216";4;"G234227";"plasma membrane"
"Non-Essential";"Major facilitator superfamily proteins (MFS)";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00218";4;"G234229";"plasma membrane"
"Non-Essential";"Protein phosphatases";"Transcription complexes/Transcriptosome";"Cell morphology and organelle mutants";"PS00017";4;"G234232";"cytoplasm"
